root	Akkadian:	Amharic:	Amorite:	Arabic:	Aramaic:	Argobba:	Biblical Aramaic:	Canaanite:	East Ethiopic:	Eblaitic:	Epigraphic South Arabian:	Gafat:	Geʕez (Ethiopian):	Gurage:	Harari:	Harsusi:	Hebrew:	Jibbali:	Judaic Aramaic:	Mandaic Aramaic:	Mehri:	Modern Arabic:	Modern Aramaic:	Phoenician:	Soqotri:	Syrian Aramaic:	Tigrai (Tigriñña):	Tigre:	Ugaritic:
pVṣVḥ	peṣû	-	-	fṣḥ	-	-	-	-	-	-	-	-	-	-	-	-	pṣḥ	-	pṣḥ	pṣih	-	-	-	-	-	pǝṣīḥ	-	-	-
lVmaʕ	-	-	-	lmʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lVʔlVʔ	-	-	-	lʔlʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šaṭīʕ	-	-	-	saṭīʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šanaw	-	-	-	snw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_̣VhVl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṣhl	-	-	-	-	-	-	-	-	-	-	-	-
nVšVp	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	näšäp	-	-	-	-	-	-	-	-	-	-	-	-
rVšp	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rešep	-	-	-	-	-	-	-	-	-	-	-	-
rubd	-	-	-	rubdat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVʕVr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bʕr	-	-	bar	-	-	-	-	-	-	-	-	bʕr
paḥm	pēntu	fǝm	-	faḥm	-	-	-	-	-	-	-	-	fǝḥm	-	fēḥama	-	pĕḥām	-	-	-	-	-	-	pḥm	fḥam	paḥm	fǝḥmi	fäḥam	pḥm
dapaʔ	-	-	-	dfʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVlVw	qalû	-	-	qlw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḳla	-	-	-	-	-	-	-	-	-
kVyVd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kyd	-	-	-	-	-	-	-	-	-	-	-	-
ḳVdVḥ	qâdu	-	-	qadḥat	-	-	-	-	-	-	-	-	-	-	-	-	ḳdḥ	-	-	-	-	-	-	-	-	-	-	-	-
kVwVy	kawû	-	-	kwy	-	-	-	-	-	-	-	-	-	-	-	-	kwy	-	-	-	-	-	-	-	-	-	-	-	-
ʕik	-	-	-	ʕkk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝxVbVb	šabābu	-	-	šbb	-	-	-	-	-	-	-	-	-	-	-	-	šbb	-	šābīb	šambibia	-	-	-	-	šbb	šāb	-	-	-
ŝur	-	-	-	šrr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVʕar	-	-	-	sʕr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣVt	ṣetu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yṣt	-	-	-	-	-	-	-	-	-	-	-	-
ḥr	arāru	arrärä	-	ḥrr	-	-	-	-	-	-	-	-	ḥrr	arrärä	-	-	ḥrr	ḥar	ḥrḥr	hrr	-	-	-	-	-	-	ḥarärä	ḥarra	ḥrr
ḥVrVb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥorĕb	-	-	-	-	-	-	-	-	-	-	-	-
ḥamm	emēmu	-	-	ḥmm	-	-	-	-	-	-	-	-	-	-	-	-	ḥam	-	-	-	-	-	-	-	-	ḥam	-	-	-
ʔūr	-	-	-	ʔirrat	-	-	-	-	-	-	-	-	-	-	-	-	ʔūr	-	-	-	-	-	-	-	-	-	-	ʔarwa	-
ḥVmuš	-	-	-	ḥms	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔišs	ʔišatu	ǝsat	-	-	-	-	-	-	-	-	-	-	ʔǝsat	-	-	-	ʔeš	-	-	ʕs̃tʔ	-	-	-	ʔs	-	-	-	ʔǝsat	ʔišt
ʔgg	-	-	-	ʔǯǯ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVšḥVš	-	-	-	ḥsḥs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wVhig	-	-	-	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫama	-	-	-	ḫmṣ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tawan	-	-	-	tawan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVrVh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	brh	-	-	-	-	-	-	-	-	-	-	-	-
ṭVʕam	-	-	-	ṭʕm	-	-	-	-	-	-	-	-	ṭʕm	-	-	ṭam	ṭʕm	ṭaʕam	-	-	ṭam	-	-	-	ṭaʕam	-	-	-	-
ʔVkul	akālu	-	-	ʔkl	-	-	-	-	-	-	-	-	-	-	-	-	ʔkl	-	-	-	-	-	-	ʔkl	-	-	-	-	ʔakl
ʔVgVr	-	-	-	ʔgr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVzVr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gzr	-	-	-	-	-	-	-	-	-	-	-	-
ḳVwVt	-	-	-	qwt	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝVrah	-	-	-	šrh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_Vmaʔ	-	-	-	t_mʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVy	-	-	-	ḥy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
laḥm	-	-	-	laḥm	-	-	-	-	-	-	-	-	-	-	-	-	leḥem	-	-	-	-	-	-	-	-	laḥm	-	-	lḥm
lVmug	-	-	-	lmǯ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
puḳaʕ	-	-	-	fuqqāʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rVp	-	-	-	rff	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVyVŝ	-	-	-	ʕyš	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
giʕ	-	-	-	giʕat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
būt_̣	-	-	-	būẓat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVŝVp	-	-	-	nšf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
sVbVʔ	sāb	-	-	sʔb	-	-	-	-	-	-	-	-	-	-	-	-	sbʔ	-	sbʔ	-	-	-	-	-	-	-	-	-	š̃b
ṣVday	-	-	-	ṣdy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣVmVʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ṣmʔ	-	-	-	-	-	-	-	-	-	-	-	-
ʕVb	-	-	-	ʕbb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
hu	-	-	-	hym	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ynḳ	enēḳu	-	-	nḳw	-	-	-	-	-	-	-	-	-	-	-	-	yānaḳ	-	yǝnaḳ	-	-	-	-	-	-	ʔīnēḳ	-	-	ynḳ
lVṭVʕ	-	-	-	lṭʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lVḥVš	lâš	lasä	-	lḥs	-	lähasa	-	-	-	-	-	mǝlasä	laḥasa	lasä	-	-	-	-	-	-	laḥās	-	-	-	-	-	läḥasä	läḥasa	-
muk	-	-	-	mkk	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
zVḳVm	-	-	-	zḳm	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVšVw	-	-	-	ḥsw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVṣ̂	-	-	-	ʕḍḍ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mVṣ	-	-	-	mṣṣ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVwVr	-	-	-	fwr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣVwad	ṣâdu	-	-	ṣyd	-	-	-	-	-	-	-	-	-	-	-	ṣayd	ṣwd	c̣od	-	-	c̣ayd	-	-	-	ṣode	-	-	-	ṣd
ʕVpVw	-	-	-	ʕfw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVrVʕ	-	-	-	tbrʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wVhVb	-	-	-	whb	-	hawa	-	-	-	-	whb	wabä	whb	-	-	-	yhb	-	-	ahb	-	-	-	-	-	yhb	habä	häba	-
mnḥ	-	-	-	mnḥ	-	-	-	-	-	-	-	-	-	-	-	-	minḥā	-	-	-	-	-	-	-	-	-	-	-	mnḥ
galab	-	-	-	glb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVwVr	-	-	-	ʕwr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVyVn	nadān	-	-	dyn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mutaʕ	-	-	-	mtʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVyVʕ	-	-	-	byʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝVrVy	-	-	-	šry	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVtVw	-	-	-	ʕtw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wVgVd	-	-	-	wgd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rVbVʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	rbʕ	-	-	-	-	-	-	-	-	-	-	-	-
mdd	madād	mädämmädä	-	mdd	-	-	-	-	-	-	-	-	madada	-	-	-	mādad	-	-	-	-	-	-	-	-	-	mädmädä	mädda	mdd
wVṣVg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	yṣg	-	-	-	-	-	-	-	-	-	-	-	-
w	-	-	-	wḍʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVwVn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dwn	-	-	-	-	-	-	-	-	-	-	-	-
šVkun	šakānu	-	-	skn	-	-	-	-	-	-	-	-	-	-	-	sekōn	škn	skun	-	-	-	-	-	-	-	-	-	-	-
zaman	-	zämän	-	zamān	-	-	zǝman	-	-	-	-	-	zaman	zämän	-	-	zǝmān	-	-	zaman	zemōn	-	-	-	zem	zabnā	zämän	zäbän	-
h_urš	ḫuršu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥōrĕš	-	-	-	-	-	-	-	-	-	-	-	-
ʔakam	-	-	-	ʔakamat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕupVl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʕōpĕl	-	-	-	-	-	-	-	-	-	-	-	-
gabʕ	gabʔu	guba	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gäbaʕ	-	-	-	-	-	-	-	-	-	-	-	gbʕ
ʔabVn	abnu	-	-	-	-	-	-	-	-	-	ʔbn	-	ʔǝbn	-	un	-	ʔĕbĕn	-	-	abn	ḥaubīn	-	-	-	ʔoben	ʔabn	ʔǝmni	ʔǝbn	ʔabn
ʕaḳab	-	-	-	ʕaqabat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
radād	-	-	-	radād	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣawān	-	-	-	ṣawānat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tall	tīlu	-	-	tall	-	-	-	-	-	-	-	-	-	-	-	-	tēl	-	-	-	-	-	-	-	-	tell	-	-	tl
ʕVbal	-	-	-	ʕbl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVdVl	-	-	-	ǯādil	gǝdal	-	-	-	-	-	-	-	-	-	-	-	gdl	-	-	-	-	-	-	-	-	-	-	-	gdl
nVṣub	-	-	-	nṣb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝVrVḫ	-	-	-	šrḫ	-	-	-	-	-	-	-	-	-	-	-	-	-	ŝiroḫ	-	-	ŝarḫ	-	-	-	ŝéraḥ	-	-	-	-
ʕuliy	-	-	-	ʕulliyyat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bVʔuš	-	-	-	bʔs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ra	-	-	-	rḥb	-	-	-	-	-	-	-	-	-	-	-	-	rḥb	-	-	-	-	-	-	-	-	-	-	-	-
gVʔVy	-	-	-	-	gǝʔa	-	-	-	-	-	-	-	-	-	-	-	gʔy	-	-	-	-	-	-	-	-	-	-	-	-
zayad	-	-	-	zyd	-	-	-	-	-	-	-	-	-	-	-	zōd	-	-	-	-	zeyōd	-	-	-	zed	-	-	-	-
nVbir	-	annäbabbärä	-	nbr	-	nǝbbur	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rVyVʕ	-	-	-	ryʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝVyVḫ	šâḫu	-	-	šyḫ	-	-	-	-	-	-	-	-	-	-	-	ŝōḫ	-	-	-	-	ŝōḫ	-	-	-	-	-	-	-	-
gidd	-	-	-	ǯidd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVdVn	-	-	-	gdn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
siway	-	-	-	swy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVraʔ	-	-	-	drʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṭVluʕ	-	-	-	ṭlʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳamar	-	-	-	ḳamar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ŝahr	-	-	-	šahr	sahar	-	-	-	-	-	-	-	ŝahr	-	-	-	-	ŝehǝr	-	sira	-	-	-	-	ŝeher	-	-	-	-
šuh	-	-	-	suh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɣayām	-	-	-	ɣayām	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ṣ̂abāb	-	-	-	ḍabābat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šamay	šamû	-	-	samāʔ	-	-	-	-	-	-	-	-	samāy	-	-	semē	šamayim	-	-	-	semē	-	-	-	-	šemayy	-	-	šmm
da	-	dammänä	-	damm	-	dammänä	-	-	-	-	-	dämmänä	dammanā	dämmäna	dāna	-	-	-	-	-	-	-	-	-	-	dīmǝt	dämmänä	dämänä	-
ʕVl	-	-	-	ʕll	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dwy	diʔu	däwwäyä	-	dwy	-	-	-	-	-	-	-	-	dawaya	-	-	-	dāwā	-	dǝwā	-	-	-	-	-	-	dǝwī	däwäya	-	dwy
ḥVbVl	-	-	-	ḥbl	-	-	-	-	-	-	-	-	-	-	-	-	ḥbl	-	ḥăbal	hamblat	-	-	-	-	-	ḥǝbal	-	-	-
tVwVy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	twy	-	-	-	-	-	-	-	-	-	-	-	-
zVwVʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	zwʕ	-	-	-	-	-	-	-	-	-	-	-	-
wVgal	-	-	-	wgl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dVʕVb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dʔb	-	-	-	-	-	-	-	-	-	-	-	-
wVhal	-	-	-	whl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wagar	-	-	-	wǯr	-	-	-	-	-	-	-	-	-	-	-	-	ygr	-	-	-	-	-	-	-	-	-	-	-	-
dVhun	-	-	-	dhn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ɣVwaʔ	-	-	-	ɣwʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVyVb	-	-	-	h_yb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔVliš	-	-	-	ʔls	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVwVr	-	-	-	gwr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	gawärä	-
daɣar	-	-	-	dɣr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rVduʔ	-	-	-	rdʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVʕVs	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kʕs	-	-	-	-	-	-	-	-	-	-	-	-
bVʔaš	-	-	-	bʔs	-	-	-	-	-	-	-	-	-	-	-	-	bʔš	-	-	-	-	-	-	-	-	-	-	-	-
ḫVbut_	-	-	-	ḫbt_	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
nVbVl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	nbl	-	-	-	-	-	-	-	-	-	-	-	-
rim	-	-	-	rmm	-	-	-	-	-	-	-	-	-	-	-	rem	rmm	-	-	-	rem	-	-	-	-	-	-	-	-
ŝxar	-	-	-	šrr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔad_ay	-	-	-	ʔd_y	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥVḳir	-	-	-	ḥqr	-	-	-	-	-	-	-	-	ḥqr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVbb	-	-	-	sbb	-	-	-	-	-	-	-	-	-	-	-	-	-	sebb	-	-	seb	-	-	-	-	-	-	-	-
d_VrVʔ	-	-	-	d_rʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
gVway	-	-	-	gwy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mar	marāru	-	-	mrr	-	-	-	-	-	-	-	-	-	-	-	mer	mar	-	-	-	mer	-	-	-	mrr	-	-	-	-
ḥVmVʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḥmʕ	-	-	-	-	-	-	-	-	-	-	-	-
ʕapiṣ	-	-	-	ʕafiṣ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḥulalVʔ	-	-	-	ḥulalʔat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
radaɣ	-	-	-	radaɣat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
rāʔib	-	-	-	rāʔib	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
duhm	-	-	-	duhmat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVwad	-	-	-	swd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳilʕāṭ	-	-	-	qilʕāṭ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVdVr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	qdr	-	-	-	-	-	-	-	-	-	-	-	-
gVwVn	-	-	-	gwn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
šVḥVr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	šḥr	-	-	-	-	-	-	-	-	-	-	-	-
rug	-	-	-	rgg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pVr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	prr	-	-	-	-	-	-	-	-	-	-	-	-
t_away	-	-	-	t_wy	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
w	-	-	-	wṭn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mVnaʕ	-	-	-	mnʕ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
pašaḫ	-	-	-	fsḫ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
natan	-	-	-	ntn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔur	arāru	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ʔrr	-	-	-	-	-	-	-	ʔerer	-	-	-	-
hVsVd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hsd	-	-	-	-	-	-	-	-	-	-	-	-
ḳVdVḥ	-	-	-	qdḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
maha	-	-	-	mhn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
maraṣ̂	-	-	-	mrḍ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
mw	mâtu	motä	-	mwt	-	-	-	-	-	-	-	-	mōta	-	-	mōt	mwt	emyét	mwt	-	mōt	-	-	-	mī	mīt	motä	motä	mt
marih	-	-	-	marih	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kVbur	kabāru	-	-	kbr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	kbr	-	-	-
wVba	-	-	-	w	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫa	-	-	-	ḫwr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕVga	-	-	-	ʕgz	-	-	-	-	-	-	-	-	-	-	-	ʔagōz	-	-	-	-	ʔagōz	-	-	-	-	-	-	-	-
ʕanaʔ	-	-	-	ʕnʔ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kud	-	-	-	kdd	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
lVɣab	-	-	-	lɣb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
tVʕab	-	-	-	tʕb	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
wagaʕ	-	-	-	wgʕ	-	-	-	-	-	-	-	-	-	-	-	-	ygʕ	-	-	-	-	-	-	-	-	-	-	-	-
lVʔay	-	-	-	lʔy	-	-	-	-	-	-	-	-	-	-	-	-	lʔy	-	-	-	-	-	-	-	-	-	-	-	-
ɣarb	ereb	-	-	ɣrb	-	-	-	-	-	-	-	-	ʕarab	-	artu	ɣarb	ʕrb	oɣórb	-	arb	ǝɣtǝrōb	-	-	ʕrb	máʕrib	ʕǝreb	ʕaräbä	-	ʕrb
t_̣Vlam	ṣalāmu	č̣ällämä	-	ẓlm	-	-	-	-	-	-	-	ṣillämä	ṣalma	č̣ällämä	č̣eläma	-	ṣlm	-	-	-	-	-	-	-	ṭlm	-	-	sälma	-
ḫadar	-	-	-	ḫadar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
t_̣ill	ṣillu	-	-	ẓill	ṭull	-	-	-	-	-	-	-	ṣelālāt	-	-	-	ṣel	ẓelel	-	-	-	-	-	-	-	-	-	-	ẓl
dugn	-	-	-	duǯn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʔVpVl	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	jpl	-	-	-	-	-	-	-	-	-	-	-	-
biʔ	bīʔu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
kahp	-	-	-	kahf	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḳVʕar	-	-	-	qʕr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ʕawr	-	-	-	ʕawrat	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
ḫVr	ḫeru	-	-	-	-	-	-	-	-	-	-	-	h_rw	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ḫr
