root	ags.	ahd.	ai.	air.	aisl.	aksl.	alb.	anord.	arm.	as.	av.	cymr.	gall.	got.	gr.	hitt.	lat.	lett.	lit.	mhd.	mir.	mnd.	norw.	russ.	slav.	umbr.	vgl.
bher	-	bora	bhárvati	barae	bora	branь	brimë	-	-	-	tižibāra	-	-	-	φάρμακον	-	-	-	burnà	bā̆r	bairenn	-	-	bortь	borvъ	-	-
bher	-	-	-	-	-	-	-	-	boṙ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bher	-	bibarīn	babhrúḥ	-	bersi	-	-	-	-	-	bawra	-	-	-	φάρη	-	fiber	-	bruĩšis	-	-	-	-	bronь	bebrъ	-	-
bher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	burva	-	-	-	-	-	-	-	-
bheredh	-	-	bardhakaḥ	-	-	-	-	-	-	-	-	-	-	-	πέρθω	-	-	-	-	-	-	-	-	-	-	-	-
bhereg	beorcan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	žem	-	-	-	-	-	-	-	-
bherǝĝ	-	birihha	bhrājatē	-	-	-	-	-	-	-	-	berth	-	baírhts	πάλαμᾱ	-	farnus	bęr̃zs	béržas	-	-	-	mdartl	berëza	-	-	-
bhereĝh	-	-	br̥hant	-	-	-	-	-	berj	-	-	-	-	-	-	párkuuš	burgus	-	-	-	-	-	-	-	-	-	at
bherǝk̂	-	-	bhrā́śatē	brecc	-	-	-	-	-	-	-	breuddwyd	-	-	φορκόν	-	-	-	-	brehen	-	-	-	-	-	-	-
bherem	-	-	bhramaráḥ	-	-	-	-	-	-	-	-	-	-	-	φόρμινξ	-	-	-	-	-	-	-	-	-	-	-	-
bheres	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	festīnō	-	bruzgùs	-	bras	-	-	-	bъrzъ	-	-
bhereu	-	-	-	bruth	-	-	-	-	-	-	-	-	-	-	φαρυμός	-	brīsa	-	-	-	-	-	-	-	-	-	-
bherĝh	byrgan	-	-	-	-	-	-	-	-	-	-	-	-	baírgan	-	-	-	-	-	-	-	-	-	-	-	-	-
bherug	-	-	-	-	barki	-	-	-	erbuc	-	-	-	-	-	φάρυξ	-	frūmen	-	-	-	-	-	-	-	-	-	-
bhes	-	-	bábhasti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhes	-	-	bábhasti	-	-	-	-	-	-	-	-	-	-	-	ψύ̄χω	-	-	-	-	-	-	-	-	-	-	-	-
bheu	bēo	-	bhū́	bīu	būr	zabytь	buj	-	-	-	-	-	-	bauan	φύσις	-	superbus	bûšana	būklas	-	forbaid	bōdel	-	-	-	fust	zur
bheudh	-	-	boddhár	robud	boð	-	-	-	-	-	baoiδi	bodd	-	biuþs	πεύθομαι	-	-	-	bundù	-	-	-	-	bódryj	-	-	-
bheug	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φεύγω	-	fugiō	-	bū́gstu	-	-	-	-	-	-	-	-
bheug	-	-	bhujiṣyà	-	-	-	-	-	-	-	baog	-	-	-	-	-	-	-	-	biuchen	-	-	-	-	-	-	-
bheug	-	-	bhujáti	-	bogi	-	butë	-	-	-	-	-	-	bugjan	-	-	-	bauga	-	-	-	bucken	-	-	-	-	-
bheug	-	-	bhujiṣyà	-	-	-	bungë	-	-	-	-	-	-	-	-	-	fungor	-	-	-	-	-	-	-	-	-	-
bhidh	-	-	-	-	biða	-	-	-	-	-	-	-	-	-	πίθος	-	-	-	-	-	-	-	-	-	-	-	-
bhili	bilewit	billīch	-	-	-	-	-	-	-	unbilithunga	-	-	-	-	-	-	-	-	-	-	bil	-	-	-	-	-	-
bhlaĝ	-	-	-	-	und	-	-	-	-	-	-	-	-	-	-	-	flagrum	-	-	-	-	-	-	-	-	-	-
bhlaghmen	-	-	-	brahmán	-	-	-	-	-	-	-	-	-	-	-	-	flāmen	-	-	-	-	-	-	-	-	-	-
bhlē	-	blāzan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fleō	blêju	-	bral	-	-	-	-	-	-	-
bhlē̆d	-	-	-	-	-	-	-	-	-	-	-	-	-	-	φλέδων	-	-	-	-	-	-	-	-	-	-	-	zur
bhlegʷ	-	bolca	-	-	-	-	-	-	-	-	-	-	-	-	φλέψ	-	-	-	-	-	-	-	-	-	-	-	-
bhlē̆i	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	blīnêt	blaĩvas	-	-	-	-	-	-	-	-
bhlei	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	flēmina	-	-	-	-	-	dial	-	-	-	-
bhlē̆iĝ	blike	blic	-	-	blik	bliskъ	-	-	-	bliksmo	-	-	-	-	-	-	-	blaiskums	-	-	-	-	-	-	-	-	-
bhleiq	bǣlge	-	-	-	blīgr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	blicke	-	-	-	-	-	-	-
bhlendh	-	-	bradhnáḥ	-	blunda	blǫdъ	-	-	-	-	-	-	-	blandan	-	-	-	blendu	blį́sta	-	-	-	-	-	-	-	-
bhles	-	blasros	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	blas	-	-	-	-	-	-	-
bhleu	-	blāttara	-	-	-	blujǫ	-	-	-	-	-	-	-	-	φλέω	-	-	-	bliáuju	-	-	-	-	-	-	-	-
bhlēu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	blauzgas	-	-	-	-	-	bljušč	-	-	-
bhlēu	-	-	-	-	-	-	-	-	-	-	-	-	-	blauþian	φλαυ̃ρος	-	-	-	-	-	-	-	-	-	-	-	-
bhleuk	-	-	-	-	blys	-	-	-	-	-	-	-	-	-	περιπεφλευσμένος	-	-	-	-	-	-	-	-	-	-	-	-
bhlēu̯os	-	-	-	blā	-	-	-	-	-	-	-	-	blāros	-	-	-	flāvus	-	-	-	-	-	-	-	-	-	-
bhleus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhlǝidos	-	bleizza	-	-	-	blědъ	bl̃erónj	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhlīĝ	-	-	-	-	-	blizь	-	-	-	-	-	blif	-	-	-	-	flīgō	blaîzît	-	-	-	-	-	-	-	-	-
bhlō̆k	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	floccus	-	-	-	-	-	-	-	-	-	-
bhlosq;	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	blą́zgu	-	-	-	-	-	-	-	auch
bhog	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	búal	-	-	-	-	-	-
bhō̆gh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bagnó	-	-	-
bhōi	-	-	bhiyānáḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	baĩdu	báimė	-	-	-	-	-	-	-	-
bhok	-	-	-	-	-	-	-	-	bosor	-	-	-	-	-	-	-	focus	-	-	-	-	-	-	-	-	-	-
bholo	-	-	-	bolad	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhorgʷos	-	-	-	borb	-	-	-	-	bark	-	-	-	-	-	-	-	-	-	-	-	borb	-	-	-	-	-	-
bhosos	-	bar	-	-	-	-	-	-	bok	-	-	-	-	-	-	-	-	-	bãsas	-	-	-	-	-	-	-	-
bhoudhi	-	-	-	búaid	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhoukʷos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fūcus	-	-	-	-	-	-	-	-	-	-
bhrag	-	bracko	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fragrō	-	-	-	-	-	-	-	-	-	mhd
bhrā́ter	-	-	bhrātryam	brāthair	-	bratrъ	-	-	eɫbair	-	-	-	-	brōþar	φρά̄τρᾱ	-	frāter	-	-	-	-	-	-	-	-	-	-
bhredh?	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	brìenu	birdà	-	-	-	-	-	-	-	gall
bhreĝ	usw	brocco	giribhráj	-	-	-	-	-	-	-	-	-	brāca	-	-	-	frangō	-	braškù	-	braigid	-	brake	-	-	-	-
bhreĝ	-	-	bhraj	-	bǫrkr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhrēi	-	-	bhrīṇánti	-	-	bridъ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	die
bhren	brant	-	-	-	brandr	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhrendh	-	-	-	wahrscheinlich	-	-	-	-	-	-	-	-	-	-	-	-	-	briêstu	brę́stu	-	-	-	-	-	brędъ	-	auch
bhrenk	-	-	-	-	-	-	-	-	-	-	-	hebrwng	-	briggan	-	-	-	-	-	-	-	-	-	-	-	-	-
bhrenk̂	-	-	bhráṁśate	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhrentos	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	briêdis	-	-	-	-	-	-	-	-	dazu
bhres	-	brastōn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	braškéti	braschen	brosc	-	brisk	-	-	-	auch
bhreu	-	-	-	broth	-	-	-	-	-	-	-	-	-	-	-	-	frutex	-	-	briezen	-	-	-	-	-	-	-
bhrē̆u	breoðan	bruzī	bhrūṇám	-	bryti	-	-	-	-	-	-	-	-	-	-	-	-	-	-	briune	-	-	-	-	-	-	-
bhrēu	mhd	-	-	brū	brūn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhreuk̂	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	bràucu	braukiù	-	-	-	-	usw	brušǫ	-	-
bhreus	-	-	-	brollach	-	-	-	-	-	brustian	-	-	-	-	-	-	-	-	-	-	brūasach	-	-	-	-	-	-
bhreus	brosnian	-	-	bronnaim	-	-	breshën	-	-	-	-	-	-	-	-	-	frustum	-	-	-	-	-	-	-	-	-	-
bhreus	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	brūsen	-	-	-	-	-	-	nhd
bhroisqo	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	brisk	brezgátь	-	-	-
bhrū	brū	-	bhrū́ḥ	-	-	-	-	-	-	-	-	-	-	-	ὀφρυ̃ς	-	-	-	-	-	brūad	-	-	-	-	-	-
bhrū	-	-	-	-	bryggia	-	-	-	-	-	-	-	brīva	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhrūg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	frūx	-	-	-	-	-	-	-	-	-	-
bhrughno	brogne	-	-	-	-	-	-	-	-	-	-	brwynen	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhudhmen	-	-	budhnáḥ	-	-	-	-	-	-	-	bū̆nō	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
bhū̆ĝos	-	-	-	-	-	-	-	-	buz	-	būza	-	-	-	-	-	-	-	-	-	bocc	-	-	-	-	-	-
dā	-	-	dāna	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dā	-	-	dātár	-	-	-	-	-	-	-	-	-	arcantodanos	-	δαίομαι	-	-	-	-	-	-	-	-	-	-	-	-
dāiu̯ēr	-	zeihhur	dēvár	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dak̂ru	-	-	-	dēr	-	-	-	-	-	-	-	-	-	-	δάκρυ	-	-	-	-	-	-	-	-	-	-	-	auch
dāu	tosca	-	dunṓti	-	-	-	dhunë	-	erkn	-	-	etewyn	-	-	δαίω	-	vermutlich	-	-	-	-	-	-	-	-	-	-
dǝĝhmó	-	-	jihmá	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
de	-	-	idám	-	-	-	-	-	-	-	vaēsmǝnda	-	-	-	δή	-	dum	-	-	-	-	-	-	-	-	-	dūdum
dē	-	-	dyáti	-	-	-	duai	-	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	ai
dēg	-	-	-	-	-	-	-	-	-	-	-	-	-	tēkan	-	-	-	-	-	-	-	-	-	-	-	-	-
dei	-	-	dī́dēti	-	-	-	-	teitr	-	-	-	-	-	-	hom	-	-	-	dìdis	-	-	-	-	-	-	-	-
dei̯ǝ	-	-	dī́yati	-	-	-	-	-	-	-	-	-	-	-	δι̃νος	-	-	deju	-	-	-	-	-	-	-	-	-
deiĝh	tindian	zechon	-	-	-	-	-	-	ti	-	-	-	-	-	-	-	-	-	-	-	dega	teke	dial	-	-	-	-
deik̂	-	zeigōn	deśinī	-	-	-	-	teigr	-	-	ādištiš	-	-	-	δείκνῡμι	-	dīcere	-	-	-	-	-	-	-	-	-	-
dek̂	-	-	dāśnṓti	dess	-	-	djathtë	-	-	-	dāšta	-	-	-	δεξιός	-	decet	-	-	-	-	-	-	-	-	tic̨it	unten
dek̂	-	-	daśā	-	-	-	-	tāg	-	-	-	-	-	tagl	-	-	-	dęgums	-	zacke	-	-	-	-	-	-	-
dek̂m̥	-	-	dáśa	-	-	desętь	-	-	tasn	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
del	tyllan	-	-	-	-	-	-	tāl	toɫ	-	-	-	-	gatils	sind	-	-	-	-	-	-	-	-	-	-	-	-
del	-	zeltāri	dulā́	-	-	-	-	tolla	-	-	-	-	-	-	-	-	-	-	del̃sti	-	-	-	-	-	-	-	isl
del	-	zelto	dalíḥ	fodālim	-	-	djalë	-	wohl	-	-	-	-	dails	δάλλει	-	dolō	-	dalìs	zulle	del	tol	-	-	-	-	mir
del	-	-	-	-	-	-	-	-	teɫ	-	-	-	-	-	-	-	-	-	-	-	delt	-	-	-	-	-	-
del	-	-	-	-	-	prodьliti	-	talma	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	δέμω	-	-	-	-	-	-	-	-	-	-	-	-
demǝ	dā	zamōn	dāmyáti	dam	-	-	dëntë	-	-	-	-	-	-	gatamjan	δάμνᾱμι	-	damma	-	-	-	-	-	-	-	-	-	-
demel	-	-	-	-	-	-	dhemjë	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
denk̂	-	zangar	dáśati	-	-	-	geg	tā	-	bitengi	-	-	-	-	δάκνω	-	-	-	-	-	-	tā	-	-	-	-	-
dens	-	-	-	-	-	-	-	-	-	-	-	-	-	-	δασύς	-	-	-	-	-	-	-	-	-	-	-	-
deph	-	-	-	-	-	-	-	-	topel	-	-	-	-	-	δέφω	-	depsō	-	-	-	-	-	-	-	-	-	-
der	-	-	-	-	tarra	-	dorë	-	-	-	-	-	-	-	ab	-	-	duŕu	-	-	-	-	-	-	-	-	-
der	-	-	darduráḥ	deirdrethar	-	-	-	-	-	-	-	-	-	-	δάρδα	-	-	-	dardė́ti	-	-	-	-	-	-	-	-
der	-	nhd	dŕ̥ti	-	-	dira	-	trōð	tar	-	darǝdar	-	-	gataúra	δέρω	-	-	-	duriù	verzern	-	-	-	dermó	-	-	dēr
derbh	getyrfan	-	dr̥bháti	-	-	-	-	-	toṙn	-	-	-	-	-	δάρπη	-	-	-	-	zirben	-	-	-	derébitь	-	-	-
derep	-	-	dárpana	-	-	-	-	-	-	-	-	-	-	-	δρωπάζειν	-	-	-	-	-	-	-	-	-	-	-	-
derǝ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	δράω	-	-	-	dariaũ	-	-	-	-	-	-	-	-
dergh	-	zarga	-	-	-	-	-	-	trc̣ak	-	-	-	-	-	δράσσομαι	-	-	-	-	-	dremm	-	-	-	-	-	-
derk̂	-	-	dṛ́ś	-	-	-	dritë	-	-	-	darǝs	-	-	gatarhjan	δέρκομαι	-	-	-	-	-	-	-	-	-	-	-	-
deru	-	-	dárviḥ	daur	trūðr	sъdravъ	dru	traustr	tram	-	drvaēna	-	darullia	triu	-	taru	arix	dar̃va	sudrus	-	-	-	trysja	-	drъmъ	-	unten
des	-	-	abhidāsati	-	-	dešǫ	ndesh	-	-	-	-	-	-	-	δήw	-	-	-	-	-	-	-	-	-	-	-	-
deu	-	-	doṣā́	-	-	-	-	-	-	-	-	-	-	-	δύω	-	-	-	-	-	-	-	-	-	-	-	-
deu	-	-	dúvas	-	-	-	-	tōl	-	twīthōn	-	-	-	taujan	δύναμαι	-	beō	-	-	-	-	-	-	-	-	-	-
deu	-	-	dvitā́	doë	-	davĕ	-	-	tevem	-	-	cynnired	-	-	δήν	tuuwa	dum	-	-	-	-	-	-	-	-	-	-
deuk	tyge	giziugōn	ḍōrakam	toucc	-	-	-	taumr	-	-	-	-	-	ustaúhts	δαιδύσσεσθαι	-	-	-	-	zuc	-	-	-	-	-	-	mhd
deup	-	-	-	-	-	-	-	-	-	-	-	-	-	-	hom	-	-	-	-	-	-	-	-	-	-	-	-
dǝĝhmós	-	-	jihmáḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
digh	-	ziga	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dial	-	-	-	-
dī̆pro	-	-	-	-	-	-	-	-	tvar	-	-	-	-	tibr	-	-	-	-	-	-	-	-	-	-	-	-	-
dl̥kú	-	-	-	-	-	-	-	-	-	-	-	-	-	-	γλυκύς	-	dulcis	-	-	-	-	-	-	-	-	-	-
dn̥ĝhū	-	-	juhū́	igur	-	językъ	-	tangi	ezu	-	-	-	-	tuggō	-	-	-	-	iežùvis	-	-	-	-	-	-	-	-
dō	-	-	dāyá	-	-	dažda	dhënë	-	tam	-	-	dawn	-	-	δω̃ρον	dā	dō	-	priẽdas	-	-	-	-	-	-	-	slav
dous	-	-	dóṣ	doë	-	-	-	-	-	-	-	-	-	-	-	-	-	paduse	-	-	-	-	-	-	-	-	-
drē	-	-	drā́ti	-	-	-	-	-	tartam	-	-	-	-	-	hom	-	dormiō	-	-	-	-	-	-	-	drēmi̯ō	-	-
dreĝh	-	trāgi	-	-	-	-	-	-	-	trego	-	-	-	trigo	-	-	-	-	ri	-	-	-	-	-	-	-	mit
dumb	-	-	-	-	-	-	-	-	-	-	dumna	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	oben
dus	-	-	duṣ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
du̯ei	-	-	-	-	-	-	-	-	erknč̣im	-	dvaēɵā	-	-	-	hom	-	dīrus	-	-	-	-	-	-	-	-	-	-
du̯ōu	-	zwēne	duvā	dāu	-	dъva	dü	-	erku	-	-	-	-	m	hom	taaan	duo	divi	dù	-	-	-	-	-	-	-	oben
dhā̆bh	-	-	-	-	-	-	-	-	-	-	-	-	-	afdōbn	τάφος	-	-	-	-	-	-	-	-	-	-	-	-
dhabh	-	-	-	-	-	dobrъ	-	-	darbin	-	-	-	-	gadaban	-	-	faber	-	dabà	-	-	-	-	-	-	-	-
dhā̆l	-	tola	-	-	-	-	-	-	dalar	-	-	dail	-	-	θάλλω	-	-	-	-	-	-	-	-	-	-	-	-
dhanu	-	-	dhánvan	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhau	-	-	-	-	-	davljǫ	-	-	-	-	dvaidī	-	-	afdauiþs	-	-	-	-	-	-	-	-	-	-	-	-	thrak
dhē	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θει̃ος	-	-	-	dė̃de	-	-	-	-	-	-	-	-
dhē	-	tōm	dhánam	tarti	dǣll	oděvati	-	-	-	-	dāmi	-	dede	sētum	θωμός	daai	abdere	dêt	samdas	-	-	-	-	-	-	feitu	urnord
dhē	demm	-	-	ded	-	-	-	dǟesask	-	-	-	-	-	-	-	-	famēs	-	-	-	-	-	-	-	-	-	-
dheb	-	tapfar	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dablš	-	tapfer	-	-	daper	-	-	-	-
dhebh	-	-	dabhnōti	-	-	-	-	-	-	-	dab	-	-	-	-	teipnu	-	-	-	-	-	-	-	-	-	-	-
dhegʷh	-	-	dáhati	dedól	-	-	djek	-	-	-	daxša	de	-	dags	θέπτανος	-	foveō	daglas	nuodė́gulis	-	-	-	-	dëgotь	-	-	-
dhēi	-	-	dhāyaḥ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhei̯ǝ	-	-	dhiyasāná	-	-	-	díturë	-	-	-	dāy	-	-	-	ση̃μα	-	-	-	-	-	-	-	-	-	-	-	-
dhēigʷ	dīc	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	fīgō	-	dáigas	-	-	-	-	-	-	-	-
dheiĝh	-	-	dḗhmi	-	-	-	-	-	dizanem	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhel	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θόλος	-	-	-	-	-	-	-	-	-	-	-	-
dhel	deall	-	-	-	-	-	-	-	deɫin	-	-	-	-	-	-	-	-	-	-	getelle	dellrad	-	-	-	-	-	-
dhel	-	-	-	-	-	-	-	-	doɫam	-	-	-	-	-	-	-	-	-	-	-	-	-	und	-	-	-	-
dhelbh	-	bitelban	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhelg	dalc	-	-	delg	-	-	-	dalkr	-	-	-	-	-	-	-	-	-	-	dilgùs	-	-	-	-	-	-	-	-
dhelgh	dolg	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhem	-	-	dhámati	-	-	-	-	-	-	-	-	-	-	-	θέμερος	-	-	-	-	-	dem	-	daam	-	-	-	-
dhembh	-	-	-	-	-	-	-	-	damban	-	-	-	-	-	θάπτω	-	-	-	-	-	-	-	-	-	-	-	-
dhen	-	-	dhanáyati	-	-	-	-	-	-	-	-	-	-	-	-	-	wahrscheinlich	-	-	-	-	-	-	-	-	-	-
dhen	-	-	dhánuṣ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhen	-	tangal	-	-	-	-	gdhent	detta	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhengh	-	-	-	dingid	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dengiù	-	-	-	-	-	-	-	-
dhengh	-	-	daghnṓti	daingen	-	-	-	-	-	-	-	-	-	-	ταχύς	-	-	-	-	-	-	-	-	-	tęg	-	-
dher	-	-	dhī́ra	-	-	-	-	-	vielleicht	-	didarǝšatā	-	-	-	mit	tarah̯zi	-	dā̀rgs	bei	-	-	-	-	-	-	-	-
dher	dora	-	-	-	-	-	-	-	-	dreno	-	-	-	drunjus	θρη̃νος	-	-	-	-	-	-	-	-	-	-	-	-
dher	-	-	dhā́rā	-	-	-	-	-	-	-	-	-	-	-	ion	-	-	-	-	-	dar	-	-	-	-	-	θαρνεύει
dher	-	-	-	-	-	-	-	-	-	-	-	-	-	-	δαρδαίνει	-	foria	-	derkiù	-	-	-	-	-	-	-	-
dherāgh	-	-	-	-	-	-	-	draga	-	-	-	-	-	-	-	-	-	-	-	-	-	-	dorg	-	-	-	-
dherbh	deorfan	-	-	-	-	-	-	-	derbuk	-	-	-	-	-	-	-	-	-	dìrbu	-	-	-	-	-	-	-	-
dherebh	-	-	drapsáḥ	-	-	-	-	drumbr	-	derƀi	-	-	-	-	τρέφεσθαι	-	-	-	-	-	-	-	-	-	-	-	-
dheregh	-	tirnpauma	drākṣā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drìgnės	-	-	-	-	déren	-	-	-
dhereĝh	-	-	-	-	-	-	dreth	-	daṙnam	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	οἶνος
dhers	-	-	dhr̥ṣú	-	-	-	-	-	-	-	daršam	-	-	gadars	esb	-	infestus	-	nasaliert	-	-	-	-	-	-	-	-
dhēs	-	-	-	-	-	-	-	-	dik	-	-	-	-	-	θεός	-	fānum	-	-	-	-	-	-	-	-	-	-
dheu	-	-	dhávatē	-	-	-	-	dǫgg	-	-	-	-	-	-	-	-	-	-	-	-	dōe	-	-	-	-	-	-
dheu	-	-	-	n	-	-	-	dān	-	-	-	-	-	dauþs	-	-	fūnus	-	-	-	-	-	-	-	-	-	auch
dheu	-	-	dhavalá	-	-	-	-	-	-	-	-	-	-	-	θοός	-	-	-	-	-	-	-	-	-	-	-	-
dheub	-	-	-	domain	-	-	-	-	-	-	-	-	-	daupjan	βυθός	-	-	dubęns	dubùs	-	-	-	dump	-	dupa	-	-
dheubh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	τύφοι	-	-	-	-	-	-	dövicke	-	-	-	-	-
dheu̯es	dwǣs	-	dhvaṁsati	dōë	-	vъsdъchnǫti	dash	-	-	-	-	-	-	-	θύ̄ω	-	fuscus	dusmas	daũsos	-	donn	-	dūsa	dvóchatь	-	-	auch
dheugh	-	tuht	-	-	-	-	-	-	-	-	-	-	-	-	τυγχάνω	-	-	-	daũg	-	-	-	-	dúžij	-	-	-
dhlas	-	-	dhr̥ṣád	-	-	-	-	-	-	-	-	-	-	-	θλάω	-	-	-	-	-	-	-	-	-	-	-	-
dhl̥gh	-	-	-	dligim	-	dlъgъ	-	-	-	-	-	-	-	dulgs	-	-	-	-	-	-	-	-	-	-	-	-	-
dhō	-	-	dhā́rā	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	δοτός
dhōu	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θω̃μιγξ	-	ū	-	-	-	-	-	-	-	-	-	-
dhrebh	-	-	-	-	-	drobljǫ	-	draf	-	-	-	-	-	gadraban	-	-	-	-	-	-	-	-	-	drébezg	-	-	-
dhreĝ	-	-	dhrájati	-	-	-	-	drāk	-	-	-	-	-	drigkan	-	-	-	dragât	drežóti	-	-	-	-	-	-	-	-
dhregh	-	-	-	droch	-	-	-	-	durgn	-	-	-	-	-	τρέχω	-	-	drāžu	-	-	-	-	-	-	-	-	-
dhregh	dracu	-	drā́ghatē	-	-	razdražǫ	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	draznítь	-	-	-
dhreibh	-	-	-	-	-	-	-	-	-	-	-	-	-	dreiban	-	-	-	-	drimbù	-	-	-	-	-	-	-	-
dhreugh	drȳge	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	drugt	drugỹs	-	-	-	-	drožú	-	-	-
dhreugh	-	-	drúhyati	-	-	-	-	draumr	-	gidrog	-	-	-	-	-	-	-	-	-	-	aurddrach	-	-	-	-	-	-
dhrigh	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θρίσσα	-	-	-	-	-	gairbdriuch	-	-	-	-	-	-
dhrono	-	-	-	-	-	-	-	-	-	-	-	-	-	-	θρόνα	-	-	-	-	-	-	-	-	-	-	-	-
dhughǝter	-	-	duhitár	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhu̯en	-	-	dhvánati	-	-	-	-	dynia	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
dhu̯er	-	-	dhvárati	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-
