root	chechen	ingush	batsbi
qēʒ 	qez	qazar	-
qin	qin 	qɨ 	-
qoll 	qoll 	qoll 	qoll
qoe	qȫ	qe	-
qōṗe	qȫba 	qop 	qawṗŭ
qōr	qor 	qor 	qor
qunq	qunq	-	-
qVwe	qī	qij	-
q̇a	q̇a	q̇a	q̇a
q̇agiḳ	q̇ig	q̇ajg	-
q̇aħ	q̇aħ 	q̇aħ 	-
q̇aħen	q̇äħa	q̇aħa	q̇aħẽ
q̇amʔariḳ	q̇amq̇arg	q̇amarg	-
q̇anṭal 	-	q̇andal	-
q̇ar	-	-	q̇ar
q̇āni	q̇ēna	q̇äna	q̇ajnĭ
q̇ārc̣Vn	q̇orza	q̇ɔrza	q̇arc̣ẽ
q̇orVḳ 	-	q̇org	-
q̇uleḳ 	q̇ülg	q̇ulg	-
q̇uw	q̇u	q̇u	q̇uw
r	rš	raš	r
r	ra 	ra 	re
r	r	-	-
r	pres.+r	pres.+r	-
ra	pres.+ra 	pres.+r 	ir
sa	sa	sa	sa
sa	sa 	saχila 	saχiʎno
samVḳ 	samg	-	-
sarsVl	sarsal	-	-
sān	sa	sa	sã
sāsi	sēsa 	säsa 	-
serd 	sardam 	serd 	-
sēni	sīna	sīna	sejnĭ
sēsaḳ	sēsag	sesag	-
sēṭHo	sēda	sedq̇a	-
sire	sira	sira	-
siχen	siχa	siχa	-
sō	so	so	so
sōs	sos	-	-
stiḳel 	stigal	sigale	-
stim	stim	sim	sem
stōm	stom	som	som
stVd	stē	se	-
sṭabV 	bʕästē 	bʕästi 	sṭabo
sṭaḳ	stag	sag	sṭaḳ
sṭamu 	stomma	soma	sṭamĩ
sṭāχḳu	stoχka	sɔχk	sṭauχḳŭ
sṭēn	stē	se	sṭen
sṭim 	stimurχa 	-	sṭim
sV	sa	s	s
sVbVr	sōram	-	-
š	š 	š 	š
šaršul	šoršal	-	-
šato 	šet	šod	šatŏ
šār	šar	šar	šar
šārč	šač	šarš	-
šāri 	šēra	-	-
šāṭiḳ 	šēdag	-	-
ši	š	š	ši
šim	šin	šim	šĩ
ši	šiʔ	šiʔ	ši
šiš	šiš 	šiš 	-
šo	šo	šo	šo
šo	šo	-	-
šo	ša	šu	še
šowV 	šu 	šū	-
šōṗV	šēbu 	šüp	-
šu	šu	šu	šu
šub 	šū 	šuw 	-
